,DATE,US_GDP,US_UNRATE,US_HousingPriceIndex,US_CPI,US_INDPRO,Price,Open,High,Low,Volume,Change %,Change,USREC,Target
28,2002-05-01,10887.46,5.8,120.724,0.0,89.9348,3373.6,3350.0,3420.0,3295.9,14585551181.102362,0.70%,0.006999999999999999,0.0,1
29,2002-06-01,10887.46,5.8,121.813,0.055617353,90.6736,3216.0,3373.6,3388.2,3174.0,14585551181.102362,-4.67%,-0.0467,0.0,0
30,2002-07-01,10984.04,5.8,122.888,0.111172874,90.6436,3086.2,3216.0,3259.0,2982.1,14585551181.102362,-4.04%,-0.0404,0.0,0
31,2002-08-01,10984.04,5.7,123.831,0.333148251,90.5505,3120.1,3086.2,3202.9,2955.7,14585551181.102362,1.10%,0.011000000000000001,0.0,1
32,2002-09-01,10984.04,5.7,124.78,0.166021029,90.6373,2970.9,3122.3,3156.7,2953.2,14585551181.102362,-4.78%,-0.0478,0.0,0
33,2002-10-01,11061.433,5.7,125.735,0.165745856,90.3988,3042.9,2970.9,3043.0,2883.5,14585551181.102362,2.42%,0.0242,0.0,1
34,2002-11-01,11061.433,5.9,126.67,0.0,90.8947,3061.4,3042.9,3079.7,2950.7,14585551181.102362,0.61%,0.0060999999999999995,0.0,1
35,2002-12-01,11061.433,6.0,127.624,-0.220628792,90.3906,3007.1,3061.4,3083.8,2945.9,14585551181.102362,-1.77%,-0.0177,0.0,0
36,2003-01-01,11174.129,5.8,128.461,0.442233278,91.1369,2956.9,3007.1,3094.1,2929.1,14585551181.102362,-1.67%,-0.0167,0.0,0
37,2003-02-01,11174.129,5.9,129.356,0.770500826,91.2505,2800.9,2956.9,2969.2,2794.4,14585551181.102362,-5.28%,-0.0528,0.0,0
38,2003-03-01,11174.129,5.9,130.148,0.60076461,91.0006,2885.2,2800.9,2911.9,2693.3,14585551181.102362,3.01%,0.0301,0.0,1
39,2003-04-01,11312.766,6.0,130.885,-0.217155266,90.4311,3007.5,2885.2,3023.7,2865.9,14585551181.102362,4.24%,0.0424,0.0,1
40,2003-05-01,11312.766,6.1,131.735,-0.163220892,90.4,3011.0,3007.5,3026.1,2917.9,14585551181.102362,0.12%,0.0012,0.0,1
41,2003-06-01,11312.766,6.3,132.649,0.108991826,90.5196,3026.9,3011.0,3124.6,3011.0,14585551181.102362,0.53%,0.0053,0.0,1
42,2003-07-01,11566.669,6.2,133.77700000000002,0.108873163,90.9869,3122.3,3026.9,3131.8,3003.8,6100000000.0,3.15%,0.0315,0.0,1
43,2003-08-01,11566.669,6.1,134.968,0.380641653,90.7933,3199.7,3128.0,3210.7,3120.1,9120000000.0,2.48%,0.0248,0.0,1
44,2003-09-01,11566.669,6.1,136.29399999999998,0.325027086,91.3819,3169.5,3203.8,3247.4,3157.5,10110000000.0,-0.94%,-0.009399999999999999,0.0,0
45,2003-10-01,11772.234,6.0,137.532,-0.107991361,91.5049,3272.0,3168.0,3311.8,3153.0,9010000000.0,3.23%,0.0323,0.0,1
46,2003-11-01,11772.234,5.8,138.795,-0.27027027,92.1265,3186.4,3270.9,3276.3,3158.8,7790000000.0,-2.62%,-0.0262,0.0,0
47,2003-12-01,11772.234,5.7,140.18,-0.108401084,92.1732,3299.8,3184.7,3302.0,3162.5,7280000000.0,3.56%,0.0356,0.0,1
48,2004-01-01,11923.447,5.7,141.64700000000002,0.488334238,92.3268,3272.0,3298.9,3346.2,3258.3,8109999999.999999,-0.84%,-0.0084,0.0,0
49,2004-02-01,11923.447,5.6,143.192,0.539956803,92.8995,3360.6,3273.2,3360.9,3252.9,8330000000.0,2.71%,0.0271,0.0,1
50,2004-03-01,11923.447,5.8,145.058,0.644468314,92.5368,3415.3,3364.8,3456.1,3364.6,10820000000.0,1.63%,0.0163,0.0,1
51,2004-04-01,12112.815,5.6,146.592,0.320170758,92.8957,3400.8,3418.7,3469.2,3378.6,8830000000.0,-0.42%,-0.0042,0.0,0
52,2004-05-01,12112.815,5.6,148.186,0.585106383,93.5845,3460.2,3399.0,3467.6,3341.0,9520000000.0,1.75%,0.0175,0.0,1
53,2004-06-01,12112.815,5.6,149.851,0.317292438,92.8651,3532.9,3459.3,3556.4,3453.6,10290000000.0,2.10%,0.021,0.0,1
